pde, G, width, depth, pow_basis, pow_res, run, loss, l2
allen-cahn, 5, 4, 1, 0.0, 0.5, 3, 5.624990463256836, 0.8918172121047974
allen-cahn, 5, 4, 1, 0.0, 0.75, 1, 4.270517349243164, 0.796421229839325
allen-cahn, 5, 4, 1, 0.0, 0.75, 2, 2.5494017601013184, 0.5654639005661011
allen-cahn, 5, 4, 1, 0.0, 0.75, 3, 9.177170753479004, 0.9977496862411499
allen-cahn, 5, 4, 1, 0.0, 1.0, 1, 4.551337242126465, 0.8864626288414001
allen-cahn, 5, 4, 1, 0.0, 1.0, 2, 3.21882700920105, 0.9619316458702087
allen-cahn, 5, 4, 1, 0.0, 1.0, 3, 5.3039703369140625, 0.7918590903282166
allen-cahn, 5, 4, 1, 0.0, 1.25, 1, 5.105876922607422, 1.0720536708831787
allen-cahn, 5, 4, 1, 0.0, 1.25, 2, 3.284902811050415, 0.8791617751121521
allen-cahn, 5, 4, 1, 0.0, 1.25, 3, 5.886989593505859, 0.7657710313796997
allen-cahn, 5, 4, 1, 0.0, 1.5, 1, 10.305431365966797, 1.0127949714660645
allen-cahn, 5, 4, 1, 0.0, 1.5, 2, 3.5530576705932617, 0.7927554845809937
allen-cahn, 5, 4, 1, 0.0, 1.5, 3, 3.071695327758789, 0.9681942462921143
allen-cahn, 5, 4, 1, 0.0, 1.75, 1, 9.324176788330078, 0.8296123743057251
allen-cahn, 5, 4, 1, 0.0, 1.75, 2, 3.8654115200042725, 1.0353775024414062
allen-cahn, 5, 4, 1, 0.0, 1.75, 3, 2.993774890899658, 0.9760346412658691
allen-cahn, 5, 4, 1, 0.0, 2.0, 1, 6.890153884887695, 0.971256673336029
allen-cahn, 5, 4, 1, 0.0, 2.0, 2, 3.815007448196411, 1.044999599456787
allen-cahn, 5, 4, 1, 0.0, 2.0, 3, 2.960466146469116, 0.9795798659324646
allen-cahn, 5, 4, 1, 0.25, 0.0, 1, 0.0632408857345581, 0.6579861044883728
allen-cahn, 5, 4, 1, 0.25, 0.0, 2, 0.04540172964334488, 0.9019017815589905
allen-cahn, 5, 4, 1, 0.25, 0.0, 3, 0.03129291534423828, 0.8229307532310486
allen-cahn, 5, 4, 1, 0.25, 0.25, 1, 0.034843310713768005, 0.7859428524971008
allen-cahn, 5, 4, 1, 0.25, 0.25, 2, 0.04694129899144173, 0.9656848311424255
allen-cahn, 5, 4, 1, 0.25, 0.25, 3, 0.08552862703800201, 1.0683444738388062
allen-cahn, 5, 4, 1, 0.25, 0.5, 1, 0.03667353093624115, 0.7718983888626099
allen-cahn, 5, 4, 1, 0.25, 0.5, 2, 0.034005746245384216, 0.8479114174842834
allen-cahn, 5, 4, 1, 0.25, 0.5, 3, 0.025370579212903976, 0.6822178363800049
allen-cahn, 5, 4, 1, 0.25, 0.75, 1, 0.036709725856781006, 0.8693673014640808
allen-cahn, 5, 4, 1, 0.25, 0.75, 2, 0.0408712700009346, 0.8738306760787964
allen-cahn, 5, 4, 1, 0.25, 0.75, 3, 0.027355654165148735, 0.6950489282608032
allen-cahn, 5, 4, 1, 0.25, 1.0, 1, 0.04073729366064072, 0.9089463949203491
