method,pde,G,width,depth,pow_res,pow_basis,run,loss,l2
lecun_norm,ac,10,4,2,,,1,0.0150814773514866,0.5286136269569397
lecun_norm,ac,10,4,2,,,2,0.0157511420547962,0.5344300866127014
lecun_norm,ac,10,4,2,,,3,0.0147715304046869,0.5167580842971802
lecun_norm,ac,10,4,2,,,4,0.0116666555404663,0.357885867357254
lecun_norm,ac,10,4,2,,,5,0.0148094091564416,0.5115683674812317
lecun_norm,ac,10,8,2,,,1,0.0148556092754006,0.5215165019035339
lecun_norm,ac,10,8,2,,,2,0.0149822859093546,0.5123494267463684
lecun_norm,ac,10,8,2,,,3,0.0142554538324475,0.497006744146347
lecun_norm,ac,10,8,2,,,4,0.0012014806270599,0.152103453874588
lecun_norm,ac,10,8,2,,,5,0.0145449172705411,0.5095106959342957
lecun_norm,ac,10,16,2,,,1,0.0018500931328162,0.1956288069486618
lecun_norm,ac,10,16,2,,,2,0.014852225780487,0.5052091479301453
lecun_norm,ac,10,16,2,,,3,0.0102744735777378,0.3748586773872375
lecun_norm,ac,10,16,2,,,4,0.020020367577672,0.549163281917572
lecun_norm,ac,10,16,2,,,5,0.0142225269228219,0.5034384727478027
lecun_norm,ac,10,32,2,,,1,0.0168864596635103,0.5808084011077881
lecun_norm,ac,10,32,2,,,2,0.0164361931383609,0.4866859912872314
lecun_norm,ac,10,32,2,,,3,0.0159681905061006,0.4583141803741455
lecun_norm,ac,10,32,2,,,4,0.0129811288788914,0.3873619437217712
lecun_norm,ac,10,32,2,,,5,0.0177829805761575,0.5664710998535156
lecun_norm,ac,10,64,2,,,1,0.0125839803367853,0.4609181880950928
lecun_norm,ac,10,64,2,,,2,0.020786665380001,0.4277392327785492
lecun_norm,ac,10,64,2,,,3,0.0304606519639492,0.6527045369148254
lecun_norm,ac,10,64,2,,,4,0.0150373773649334,0.5167388319969177
lecun_norm,ac,10,64,2,,,5,0.0183774195611476,0.4442369341850281
lecun_norm,ac,10,2,3,,,1,0.0152619304135441,0.5386857390403748
lecun_norm,ac,10,2,3,,,2,0.4512924253940582,0.8981923460960388
lecun_norm,ac,10,2,3,,,3,0.0013379366137087,0.1960620135068893
lecun_norm,ac,10,2,3,,,4,0.0149516193196177,0.529874861240387
lecun_norm,ac,10,2,3,,,5,0.4684802591800689,1.0169161558151243
lecun_norm,ac,10,4,3,,,1,0.0149267707020044,0.5232949256896973
lecun_norm,ac,10,4,3,,,2,0.0145910587161779,0.5069260597229004
lecun_norm,ac,10,4,3,,,3,0.0148279843851923,0.5286322236061096
lecun_norm,ac,10,4,3,,,4,0.0147051662206649,0.5191540718078613
lecun_norm,ac,10,4,3,,,5,0.0630683004856109,0.7080938220024109
lecun_norm,ac,10,8,3,,,1,0.0150178465992212,0.5206100344657898
lecun_norm,ac,10,8,3,,,2,0.0146280266344547,0.5000686645507812
lecun_norm,ac,10,8,3,,,3,0.0132642807438969,0.4571058750152588
lecun_norm,ac,10,8,3,,,4,0.0031844000332057,0.2428907752037048
lecun_norm,ac,10,8,3,,,5,0.0144421476870775,0.5117441415786743
lecun_norm,ac,10,16,3,,,1,0.0025518590118736,0.1758088022470474
lecun_norm,ac,10,16,3,,,2,0.0022600591182708,0.1478916257619857
lecun_norm,ac,10,16,3,,,3,0.0167095754295587,0.4851716160774231
lecun_norm,ac,10,16,3,,,4,0.0110049303621053,0.339638352394104
lecun_norm,ac,10,16,3,,,5,0.0156141240149736,0.5537287592887878
lecun_norm,ac,10,32,3,,,1,0.0249618962407112,0.6168223023414612
lecun_norm,ac,10,32,3,,,2,0.0139055745676159,0.5060868263244629
lecun_norm,ac,10,32,3,,,3,0.0291252266615629,0.5764312148094177
lecun_norm,ac,10,32,3,,,4,0.0176709443330764,0.565312922000885
lecun_norm,ac,10,32,3,,,5,0.0316639430820941,0.517746090888977
lecun_norm,ac,10,64,3,,,1,0.0354098454117774,0.7659898400306702
lecun_norm,ac,10,64,3,,,2,0.0257098246365785,0.7052150368690491
lecun_norm,ac,10,64,3,,,3,0.0342196337878704,0.7042280435562134
lecun_norm,ac,10,64,3,,,4,0.0251997504383325,0.6801778674125671
lecun_norm,ac,10,64,3,,,5,0.0265323705971241,0.6340174674987793
lecun_norm,ac,10,2,4,,,1,0.5880381464958191,0.95779150724411
lecun_norm,ac,10,2,4,,,2,0.4554147720336914,0.9643250703811646
lecun_norm,ac,10,2,4,,,3,0.0147760575637221,0.5402984619140625
lecun_norm,ac,10,2,4,,,4,0.014621433801949,0.5237634778022766
lecun_norm,ac,10,2,4,,,5,0.2386472225189209,0.8796570301055908
lecun_norm,ac,10,4,4,,,1,0.0147307673469185,0.5167277455329895
lecun_norm,ac,10,4,4,,,2,0.0150504354387521,0.5234630107879639
lecun_norm,ac,10,4,4,,,3,0.0147661864757537,0.5195116996765137
lecun_norm,ac,10,4,4,,,4,0.0148051474243402,0.5184106826782227
lecun_norm,ac,10,4,4,,,5,0.0146046727895736,0.5160558819770813
lecun_norm,ac,10,8,4,,,1,0.0151827093213796,0.5053045153617859
lecun_norm,ac,10,8,4,,,2,0.0145238675177097,0.5171917676925659
lecun_norm,ac,10,8,4,,,3,0.002066999208182,0.1467081755399704
lecun_norm,ac,10,8,4,,,4,0.0142442723736166,0.5149950981140137
lecun_norm,ac,10,8,4,,,5,0.0145284859463572,0.5121129155158997
lecun_norm,ac,10,16,4,,,1,0.0134139731526374,0.4806293845176697
lecun_norm,ac,10,16,4,,,2,0.0144459977746009,0.513453483581543
lecun_norm,ac,10,16,4,,,3,0.0126632088795304,0.448617160320282
lecun_norm,ac,10,16,4,,,4,0.0133260264992713,0.5165714621543884
